GarageArea,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF
878,2098,Ex,8,1030
836,2184,Ex,9,1104
384,894,TA,5,894
543,1768,Gd,7,884
432,2372,TA,5,994
576,990,TA,5,990
248,948,TA,4,864
612,2132,Gd,8,1496
480,1200,Gd,7,600
240,1344,TA,5,896
482,1652,Gd,8,1600
624,1327,Gd,5,1063
255,1635,Gd,6,485
898,1468,Gd,8,1468
928,1734,Ex,8,1734
576,1539,TA,5,927
264,1812,TA,5,864
420,848,Gd,6,848
440,958,TA,6,958
308,935,TA,5,742
530,1391,Gd,7,1391
420,848,Gd,6,848
264,892,TA,5,864
164,1826,Ex,7,910
528,1665,Gd,8,810
648,1040,TA,4,1064
450,894,Gd,5,894
650,1929,Gd,7,1057
264,987,TA,6,483
564,1032,TA,6,1032
866,1710,Gd,8,1710
525,2127,Gd,7,1223
758,1826,Gd,8,1814
308,938,TA,5,938
180,1656,TA,5,660
180,2320,Gd,6,1028
1053,1939,Gd,8,1095
540,1190,TA,5,1106
516,816,TA,5,816
538,1625,Gd,8,1573
440,1734,Gd,6,912
569,1644,Gd,7,1518
502,1675,TA,6,841
880,2775,Gd,10,1237
529,1602,Gd,6,1602
539,2263,Gd,7,795
390,1582,TA,5,1624
216,1348,TA,5,884
858,2713,Ex,9,1452
480,1235,TA,5,1235
750,2810,Gd,8,1453
368,1738,TA,4,715
462,1537,Gd,6,1319
390,2060,Gd,7,992
440,1314,Gd,6,1314
672,2402,Ex,10,3094
474,1368,Gd,7,1368
621,1647,Gd,5,1430
550,2117,TA,6,1205
400,1040,TA,3,0
577,1479,Gd,7,1468
570,1336,TA,4,637
220,1163,TA,3,1162
336,1144,TA,5,1144
484,1603,Gd,6,761
349,2403,TA,7,1032
470,912,TA,6,888
480,1054,Gd,6,936
246,1057,Gd,5,1057
240,1008,Gd,5,1008
562,1665,Gd,7,813
420,2263,Gd,8,1141
282,2080,Gd,7,1276
240,792,Gd,5,768
598,1661,Gd,7,1649
757,1624,Gd,8,1624
388,1470,TA,6,794
528,1664,TA,7,832
592,1506,Ex,9,1498
533,1617,Gd,6,1604
368,1050,TA,5,1050
660,864,Gd,4,864
528,1392,TA,5,1392
460,1362,Gd,6,1362
784,1344,TA,7,1344
297,988,TA,4,462
924,778,TA,5,740
252,1180,Fa,4,700
556,2090,Gd,8,1220
575,1982,Gd,7,807
840,1494,Gd,7,1494
758,1746,Ex,9,1746
440,1456,TA,6,855
615,1553,Gd,7,756
400,1456,Gd,8,1273
460,1600,TA,6,916
900,1654,Gd,7,1654
484,1416,Gd,7,696
528,1142,TA,5,1142
672,3082,TA,7,824
438,1146,Gd,7,868
189,1192,TA,5,596
573,1212,Gd,7,1212
528,1680,TA,5,1680
531,1188,TA,5,1188
746,2018,Ex,9,2002
574,1949,Gd,7,1050
628,2519,Gd,7,1210
393,1509,Gd,6,783
736,2153,Ex,9,1440
288,912,TA,5,912
225,1576,TA,5,1042
440,1121,TA,4,1121
528,1224,Gd,6,612
870,2392,Gd,8,1396
576,2462,Gd,7,1392
440,1196,TA,4,1196
397,1145,Gd,7,1145
620,1844,Gd,8,1844
360,784,TA,6,784
582,1338,Gd,8,1338
420,848,Gd,6,848
484,1344,TA,5,1024
264,987,TA,6,483
326,1073,TA,5,1073
484,1790,TA,6,732
463,864,TA,4,864
583,2119,TA,6,689
358,1118,TA,6,1096
288,987,TA,6,483
416,1839,Gd,6,1477
530,1968,TA,5,784
240,804,Gd,5,788
511,1707,TA,8,1686
264,1092,TA,6,525
862,1836,Gd,8,1836
656,2646,Gd,7,1347
722,1571,Gd,8,1571
527,1459,Gd,7,1459
389,2144,Gd,6,1444
240,672,TA,5,672
440,1621,Gd,7,1208
560,1728,TA,5,1728
530,1494,Gd,7,1494
282,1558,TA,5,910
667,2287,TA,7,1304
299,1096,TA,5,1096
865,1614,Gd,7,1614
576,900,Gd,5,900
264,1123,TA,4,732
606,1484,Gd,7,1473
619,2654,Gd,6,1054
528,1252,Gd,6,1252
438,1248,Gd,7,1248
462,1489,Gd,6,1489
352,1795,TA,5,1050
616,1651,TA,6,1606
460,1664,TA,6,953
810,2794,Ex,8,1462
628,1208,Gd,7,1208
792,2696,Ex,7,1264
400,1040,TA,3,0
425,1775,Gd,7,740
440,1103,Gd,6,1103
264,1068,TA,6,1059
240,1376,TA,5,768
440,958,TA,6,1078
776,1694,Gd,8,1694
619,2872,TA,6,1330
617,1869,Ex,9,1869
627,1554,Gd,8,1554
366,835,TA,5,458
210,1077,TA,3,1007
440,1635,TA,6,1065
319,1600,TA,5,1484
500,1442,TA,7,1424
572,1056,TA,5,1056
200,1111,TA,5,616
513,2036,TA,7,2136
884,1382,TA,6,1362
590,2295,Gd,7,1095
739,1824,Gd,7,1643
402,1253,TA,7,1237
400,1560,Gd,6,684
576,981,TA,6,981
484,1801,TA,7,1501
462,1229,TA,6,561
452,1733,TA,3,0
572,1429,Gd,6,1144
240,773,TA,5,773
520,2414,TA,5,954
476,1732,Gd,6,741
336,912,TA,5,912
462,1632,TA,7,935
528,1242,TA,7,1242
286,1040,TA,5,1040
576,854,TA,7,832
770,1980,Ex,9,1980
642,2482,Gd,8,1094
840,3608,Ex,10,1107
868,1962,Gd,7,1391
300,999,TA,5,925
576,1533,Gd,7,1533
308,1269,TA,5,1269
660,1382,TA,5,720
216,1802,TA,7,793
440,1069,TA,6,1069
431,1886,Gd,7,930
412,1204,TA,6,1204
200,1131,TA,5,676
384,1396,TA,6,698
511,1337,Gd,6,1405
200,864,TA,3,864
546,3228,Gd,8,3200
264,1095,TA,6,588
440,1230,TA,5,440
576,1416,Gd,5,816
252,2340,Gd,7,1152
205,2210,Fa,6,1008
528,2240,TA,5,0
495,1167,TA,5,915
440,1426,TA,6,690
432,960,TA,4,960
430,1125,TA,5,1125
309,1302,Gd,6,1302
441,2134,Gd,6,844
833,2127,Gd,7,1104
440,1506,Gd,7,1362
796,2520,Gd,8,1338
308,1040,TA,5,1040
884,1200,Gd,5,864
856,2365,Gd,8,1252
1418,5642,Ex,10,6110
1390,2042,Ex,8,2042
518,2167,Gd,7,1192
527,1419,Gd,8,408
570,1500,Gd,7,1500
352,1125,TA,6,1041
400,1310,Gd,7,1310
504,1039,TA,5,1039
576,2521,TA,6,942
527,1720,Gd,7,1720
250,789,TA,5,789
968,2634,TA,5,1248
480,1223,Gd,7,600
494,1414,Gd,7,1414
472,1228,Gd,8,1228
575,1679,Gd,6,1408
551,2030,Gd,6,848
528,2136,TA,5,2136
954,1689,Gd,7,1689
360,845,TA,4,845
497,1217,Gd,7,1188
352,1203,Gd,5,709
726,2668,Ex,9,1572
288,1363,TA,5,1008
843,1541,Gd,7,1541
836,2078,Ex,8,1034
420,848,Gd,6,848
280,1302,TA,5,630
240,1505,TA,5,883
648,1567,Ex,8,1520
528,1128,TA,4,698
592,1924,Gd,8,1086
871,2046,Gd,7,998
360,1028,TA,5,1008
484,1868,Gd,5,780
691,2452,Gd,8,1117
746,2243,Gd,7,700
1134,2097,Ex,8,2077
529,1786,TA,5,1499
462,1252,Gd,7,600
297,1215,TA,6,1215
576,936,TA,4,936
495,1074,TA,5,1056
550,1725,TA,7,539
440,1301,Fa,5,1145
560,2290,TA,4,777
480,1710,TA,7,576
772,1850,Gd,9,1833
546,1208,TA,6,1208
521,2060,TA,6,1151
576,893,Gd,5,845
895,1973,Gd,8,1935
540,1126,Ex,5,1126
463,1800,TA,6,982
439,1363,TA,7,1385
410,1535,TA,5,0
492,1212,TA,6,506
540,988,TA,6,938
377,1661,Gd,6,992
539,1062,TA,6,1029
541,2872,Gd,8,1683
180,875,TA,5,715
352,912,TA,5,912
396,1340,Gd,7,1340
572,864,TA,5,864
336,1159,TA,5,1051
420,1664,TA,6,1004
546,1641,Ex,7,728
434,1552,TA,6,713
260,1040,TA,5,1040
216,2526,Gd,6,714
752,2531,Gd,8,1318
902,1002,TA,5,1002
758,1563,Gd,8,1563
788,1905,Ex,9,1905
564,996,Gd,6,936
297,1196,TA,6,1196
528,1656,TA,6,1080
336,1244,TA,6,1244
264,816,Gd,5,816
396,1220,TA,4,836
768,1698,Ex,9,1698
240,1389,TA,7,651
380,1709,Gd,7,970
569,1241,Gd,7,1241
405,1337,TA,6,1237
716,2868,Ex,9,1992
804,2633,Ex,10,2633
720,1130,TA,5,1120
605,1430,Gd,7,1413
572,1728,Gd,7,864
431,1908,Gd,8,967
484,1080,TA,6,1084
299,1392,TA,6,689
400,1456,Gd,6,728
870,1646,Gd,8,1638
440,1386,TA,6,672
576,1392,TA,6,1392
422,2021,Gd,7,868
526,1277,TA,7,1277
271,1668,TA,6,856
577,1501,Gd,7,1490
500,1660,Gd,8,1660
672,1148,TA,5,1148
567,1419,Gd,8,1419
252,1268,Gd,5,1268
720,864,Gd,5,864
440,1365,TA,5,765
440,1720,Gd,7,840
550,1247,Gd,8,1247
539,1743,TA,6,702
490,1165,TA,6,1127
288,1080,TA,6,1080
576,1056,TA,6,1056
288,1052,TA,5,1052
968,2392,Ex,10,2392
481,1494,Ex,8,1494
440,1512,Gd,6,756
576,1694,TA,6,1181
240,1820,TA,7,1026
400,1430,TA,7,384
288,892,TA,5,892
418,1389,TA,5,1389
660,1604,Gd,7,1604
660,1604,TA,5,984
240,913,TA,6,814
264,1113,Gd,5,1113
578,1888,Gd,6,1517
572,1262,Gd,6,1262
540,2108,Gd,6,1127
532,2019,Gd,7,728
288,1111,TA,7,572
824,1574,Gd,8,1574
576,1057,TA,5,1057
529,1663,Gd,4,1364
431,1954,Gd,7,798
795,3112,Gd,8,1360
484,1479,Gd,7,725
440,1851,Gd,6,822
264,987,TA,6,483
520,1824,TA,6,764
208,1158,TA,6,862
462,2417,Gd,8,1288
240,1078,Gd,5,1078
504,1767,Gd,7,1064
420,1040,TA,4,0
789,2161,Ex,8,1582
396,2058,TA,6,735
505,2069,Gd,7,585
440,1441,TA,6,855
440,1721,TA,5,1461
280,1048,TA,5,993
414,910,Gd,5,105
506,1283,TA,5,931
711,2448,Gd,8,1629
240,954,Fa,5,920
442,1611,TA,6,780
578,1768,Gd,8,866
457,1504,Gd,7,1346
457,1342,TA,6,1372
434,1928,Gd,7,847
326,833,Gd,5,833
327,951,TA,4,951
665,2898,Gd,8,1565
299,1092,TA,5,1092
474,1626,Gd,7,764
531,1337,Gd,7,1337
936,1958,Gd,7,1026
888,2000,Gd,8,2000
602,1110,Gd,5,1097
502,1265,Gd,5,1219
1220,2084,Ex,10,2078
624,864,TA,5,864
506,1709,Gd,9,1698
632,1220,Gd,7,1199
438,1550,Gd,7,1092
576,924,TA,5,672
588,1472,TA,7,1372
550,2610,Ex,8,1184
216,691,Ex,5,691
676,1381,Gd,6,1161
473,1719,Gd,8,1719
500,1078,TA,5,1078
440,1302,TA,5,630
300,1150,TA,5,1150
487,2157,Gd,7,924
404,1507,TA,5,1075
672,936,TA,5,936
300,864,TA,6,864
288,912,Gd,6,912
380,3194,TA,8,965
440,1573,Gd,6,756
564,1923,Gd,7,750
297,912,TA,5,912
410,1118,TA,5,793
480,1464,TA,5,520
504,1936,Gd,8,1406
447,1700,Gd,5,1398
539,1208,TA,4,780
548,1710,Gd,7,856
786,1718,Ex,10,1700
1052,1702,Ex,9,1702
923,1236,TA,6,912
352,1440,TA,5,540
528,1328,TA,6,1328
624,1176,TA,6,698
868,2574,Ex,8,1482
529,1575,Gd,6,1575
528,747,TA,4,600
456,1144,TA,5,1144
621,2601,TA,5,612
528,944,Fa,3,0
180,986,TA,6,960
490,1983,Gd,7,978
402,1224,TA,6,1224
528,1437,Gd,5,1437
479,1370,TA,7,1090
534,1795,Gd,8,1777
240,1578,Fa,6,806
240,1768,Gd,5,731
839,1865,Gd,7,992
275,912,TA,5,912
393,1509,Gd,7,783
336,894,TA,5,894
871,2002,TA,5,1001
288,899,Gd,5,864
624,1306,Gd,6,1306
576,2158,Gd,6,1202
656,2374,Ex,8,1181
474,1776,Gd,7,936
432,816,TA,6,816
672,990,TA,5,990
539,1734,Gd,5,0
484,902,TA,5,864
461,882,TA,5,882
305,1246,Gd,5,1246
420,1557,Gd,7,1374
484,1364,Gd,7,1364
754,1464,Gd,8,1485
648,1500,Gd,7,1356
442,1478,TA,6,1478
840,1652,Ex,9,1652
541,2031,Gd,7,1153
292,1383,TA,6,1383
540,1680,Gd,6,880
484,2082,Gd,7,1362
576,914,TA,5,870
432,2201,Gd,6,697
528,1196,Gd,6,684
451,1132,Gd,4,1132
451,1375,TA,6,1367
466,2020,Gd,8,1128
564,1792,Gd,7,963
696,2630,Gd,8,1470
712,1776,Gd,8,1732
390,2267,Gd,6,1010
459,1382,TA,4,1051
576,2112,TA,6,952
533,2260,Gd,7,1306
240,972,TA,6,972
460,1262,TA,6,1262
706,2728,Ex,9,1848
662,1294,Gd,7,1286
388,1266,Gd,7,1266
352,907,TA,4,907
280,1456,TA,5,810
505,2022,TA,7,1160
484,1478,Gd,7,1470
625,1040,TA,5,0
866,1634,Gd,8,1626
440,1683,TA,6,918
431,1291,Gd,6,1291
473,1279,TA,6,1196
840,952,TA,5,952
610,2466,Gd,8,1580
484,1316,TA,5,926
484,1358,Gd,7,1358
312,1188,TA,5,1188
576,1135,Gd,7,560
352,1099,Gd,5,1099
786,1726,Ex,7,1726
192,952,Fa,6,952
576,1158,Gd,6,1158
534,1969,TA,7,808
639,1797,Gd,7,939
565,1360,Gd,8,1220
528,1176,TA,6,816
370,1848,Gd,6,833
600,2620,TA,5,1361
160,790,TA,6,768
614,1576,Gd,7,770
304,1056,TA,5,1056
416,1652,TA,5,686
660,1852,Gd,8,1004
312,1194,TA,6,1194
418,1644,TA,6,1416
461,1088,Gd,8,1074
384,1136,TA,6,1136
576,1632,TA,5,1632
520,1640,Gd,6,798
336,864,TA,5,864
550,1710,Gd,7,1710
603,1768,Gd,7,866
484,1040,Gd,5,1040
673,1728,Gd,6,864
240,1082,TA,6,1082
336,1771,TA,5,0
504,1004,TA,6,975
244,1268,TA,5,1268
308,882,TA,5,0
180,1513,TA,5,939
576,1040,Gd,5,1040
240,1660,TA,6,715
531,1872,Ex,8,1299
539,1902,TA,6,0
480,1428,Gd,7,1428
641,2945,Gd,10,1410
392,827,TA,5,0
264,923,TA,6,923
576,1287,Gd,5,1063
240,1639,TA,6,1064
